Date,Industrial Production,Coffee
2023-12-31,0.0,90
2024-01-31,0.0,345
2024-02-29,0.0,323
2024-03-31,0.0,411
2024-04-30,0.0,328
2024-05-31,0.0,340
2024-06-30,0.0,435
2024-07-31,0.0,336
2024-08-31,0.0,346
2024-09-30,0.0,428
2024-10-31,0.0,328
2024-11-30,0.0,339
2024-12-31,0.0,473
